,POC,BussinessSegment,totalVolumen,SkuDistintosPromediosXOrden,SkuDistintosToTales,concentracion,nse,segmentoUnico,canal
10,175519,HighUsage,5.18752,4.1,16,Medio,Bajo,4.Activos,Kioscos/Maxikioscos
13,28533,HighUsage,4.76866,3.9211,34,Alto,Medio,4.Activos,Tradicional
19,32182,PowerUsage,5.9793,6.75,34,Alto,Medio,4.Activos,Tradicional
20,327976,MinimalUsage,6.02852,3.5833,14,Alto,Medio,4.Activos,COMIDA
24,354640,PowerUsage,7.524999999999999,3.2,18,Bajo,S/D,4.Activos,Tradicional
26,357239,PowerUsage,44.23785999999999,3.5714,27,Medio,S/D,5.Select,Tradicional
27,357408,PowerUsage,1.00784,3.125,12,Alto,Bajo,4.Activos,Tradicional
34,364310,MediumUsage,82.27622,6.9655,80,Medio,S/D,4.Activos,Autoservicio
49,391114,HighUsage,45.07864000000001,4.2143,47,Alto,Bajo,4.Activos,Autoservicio
52,39503,MinimalUsage,3.49248,4.125,14,Alto,Medio,1.Inactivos,Tradicional
54,39553,HighUsage,6.8565000000000005,6.25,21,Medio,Bajo,2.Masivos,Tradicional
64,413225,PowerUsage,38.6717,4.3235,92,Medio,Medio,5.Select,Autoservicio
65,413226,HighUsage,4.31546,6.375,28,Medio,Bajo,2.Masivos,Tradicional
69,418541,PowerUsage,47.26438,10.9091,84,Medio,Medio,5.Select,Kioscos/Maxikioscos
70,41912,MinimalUsage,0.6647999999999998,3.0,5,Alto,Bajo,1.Inactivos,Tradicional
78,426353,MediumUsage,7.76388,3.5833,16,Alto,Bajo,4.Activos,Tradicional
96,433944,HighUsage,51.91976,7.4667,73,Medio,Medio,5.Select,Tradicional
117,447100,MediumUsage,12.036809999999996,1.7857,6,Medio,S/D,4.Activos,COMIDA
120,448006,MediumUsage,2.8436600000000003,2.6429,12,Medio,Bajo,4.Activos,Tradicional
121,448089,MediumUsage,9.027,3.9444,6,Alto,Bajo,2.Masivos,BEBIDA
138,456312,MediumUsage,2.55582,5.0,16,S/D,S/D,4.Activos,Tradicional
140,457166,MediumUsage,165.45095999999998,4.7778,17,Alto,Medio,2.Masivos,Mayorista
141,457665,MinimalUsage,1.31442,12.0,22,S/D,S/D,4.Activos,BEBIDA
143,458692,MediumUsage,3.2956000000000003,5.0,14,S/D,S/D,4.Activos,Tradicional
170,170057,MediumUsage,136.86104,14.1739,58,Alto,Medio,4.Activos,BEBIDA
172,26507,PowerUsage,15.80717,5.3103,52,Alto,Medio,4.Activos,Tradicional
174,301295,MinimalUsage,0.39726,5.0,8,Medio,Bajo,1.Inactivos,Tradicional
175,302705,HighUsage,0.91406,3.3333,10,Alto,Medio,4.Activos,Tradicional
206,37388,PowerUsage,4.519240000000001,2.75,15,Medio,Medio,4.Activos,Kioscos/Maxikioscos
