,match name,match date,team_name,family_name,given_name,shirt_number,player_team_name,minute_label,penalty,Hash
0,Algeria v Austria,1982-06-21,Austria ,Schachner,Walter,7.0,Austria,55',No,qqwpxurww
1,Algeria v Austria,1982-06-21,Austria ,Krankl,Hans,9.0,Austria,67',No,xqxsxqpsr
2,Algeria v Austria,1982-06-21,Austria ,Krankl,Hans,9.0,Austria,67',No,xqxsxqpsr
3,Algeria v Austria,1982-06-21,Austria ,Schachner,Walter,7.0,Austria,55',No,qqwpxurww
4,Algeria v Chile,1982-06-24,Algeria ,Bensaoula,Tedj,9.0,Algeria,35',No,rwyuuyttp
5,Algeria v Chile,1982-06-24,Algeria ,Assad,Salah,7.0,Algeria,7',No,prytstqvy
6,Algeria v Chile,1982-06-24,Algeria ,Assad,Salah,7.0,Algeria,31',No,uwuypxywr
7,Algeria v Chile,1982-06-24,Chile ,Neira,Miguel Ángel,20.0,Chile,59',Yes,ytstytxtr
8,Algeria v Chile,1982-06-24,Chile ,Letelier,Juan Carlos,9.0,Chile,73',No,xvsqqpswv
9,Algeria v Chile,1982-06-24,Algeria ,Bensaoula,Tedj,9.0,Algeria,35',No,rwyuuyttp
10,Algeria v Chile,1982-06-24,Chile ,Letelier,Juan Carlos,9.0,Chile,73',No,xvsqqpswv
11,Algeria v Chile,1982-06-24,Chile ,Neira,Miguel Ángel,20.0,Chile,59',Yes,ytstytxtr
12,Algeria v Chile,1982-06-24,Algeria ,Assad,Salah,7.0,Algeria,31',No,uwuypxywr
13,Algeria v Chile,1982-06-24,Algeria ,Assad,Salah,7.0,Algeria,7',No,prytstqvy
14,Algeria v Northern Ireland,1986-06-03,Algeria ,Zidane,Djamel,14.0,Algeria,59',No,vvpvutxyt
15,Algeria v Northern Ireland,1986-06-03,Northern Ireland ,Whiteside,Norman,10.0,Northern Ireland,6',No,ytuuutwyu
16,Algeria v Northern Ireland,1986-06-03,Northern Ireland ,Whiteside,Norman,10.0,Northern Ireland,6',No,ytuuutwyu
17,Algeria v Northern Ireland,1986-06-03,Algeria ,Zidane,Djamel,14.0,Algeria,59',No,vvpvutxyt
18,Algeria v Russia,2014-06-26,Algeria ,Slimani,Islam,13.0,Algeria,60',No,pprvprywx
19,Algeria v Russia,2014-06-26,Russia ,Kokorin,Aleksandr,9.0,Russia,6',No,wxyywvqxq
20,Algeria v Russia,2014-06-26,Algeria ,Slimani,Islam,13.0,Algeria,60',No,pprvprywx
21,Algeria v Slovenia,2010-06-13,Slovenia ,Koren,Robert,8.0,Slovenia,79',No,wtptwpswr
22,Algeria v Spain,1986-06-12,Spain ,Calderé,Ramón,18.0,Spain,15',No,ysssuryqq
23,Algeria v Spain,1986-06-12,Spain ,Calderé,Ramón,18.0,Spain,68',No,wyuuxvvsu
24,Algeria v Spain,1986-06-12,Spain ,Eloy,not applicable,20.0,Spain,70',No,putqptpqs
25,Angola v Portugal,2006-06-11,Portugal ,Pauleta,not applicable,9.0,Portugal,4',No,qyuqxwpqp
26,Argentina v Belgium,1986-06-25,Argentina ,Maradona,Diego,10.0,Argentina,51',No,urqpxrtsp
27,Argentina v Belgium,2014-07-05,Argentina ,Higuaín,Gonzalo,9.0,Argentina,8',No,trsrpuwqs
28,Argentina v Belgium,1982-06-13,Belgium ,Vandenbergh,Erwin,9.0,Belgium,62',No,srvvqxqxs
29,Argentina v Belgium,1986-06-25,Argentina ,Maradona,Diego,10.0,Argentina,63',No,tuxvyqsrr
30,Argentina v Bosnia and Herzegovina,2014-06-15,Argentina ,Kolašinac,Sead,5.0,Bosnia and Herzegovina,3',No,uqpxxqxtr
31,Argentina v Bosnia and Herzegovina,2014-06-15,Bosnia and Herzegovina ,Ibišević,Vedad,9.0,Bosnia and Herzegovina,85',No,wrsxxpywx
32,Argentina v Bosnia and Herzegovina,2014-06-15,Argentina ,Messi,Lionel,10.0,Argentina,65',No,vvwtwwywr
33,Argentina v Brazil,1974-06-30,Brazil ,Jairzinho,not applicable,7.0,Brazil,49',No,xpsstyxpx
34,Argentina v Brazil,1982-07-02,Brazil ,Júnior,not applicable,6.0,Brazil,75',No,wvyvtrvrr
35,Argentina v Brazil,1982-07-02,Brazil ,Zico,not applicable,10.0,Brazil,11',No,pruutttru
36,Argentina v Brazil,1974-06-30,Argentina ,Brindisi,Miguel Ángel,6.0,Argentina,35',No,rruprxvxp
37,Argentina v Brazil,1982-07-02,Brazil ,Serginho,not applicable,9.0,Brazil,66',No,vuxwuurvs
38,Argentina v Brazil,1982-07-02,Argentina ,Díaz,Ramón,6.0,Argentina,89',No,vtquqvwtx
39,Argentina v Brazil,1974-06-30,Brazil ,Rivellino,not applicable,10.0,Brazil,32',No,utqwxwyyu
40,Argentina v Bulgaria,1994-06-30,Bulgaria ,Sirakov,Nasko,10.0,Bulgaria,90'+3',No,vuqqrwrur
41,Argentina v Bulgaria,1994-06-30,Bulgaria ,Stoichkov,Hristo,8.0,Bulgaria,61',No,vytswtuwp
42,Argentina v Bulgaria,1986-06-10,Argentina ,Valdano,Jorge,11.0,Argentina,4',No,stpywupxs
43,Argentina v Bulgaria,1986-06-10,Argentina ,Burruchaga,Jorge,7.0,Argentina,77',No,ypvruxuqt
44,Argentina v Bulgaria,1962-05-30,Argentina ,Facundo,Héctor,,Argentina,4',No,xytvuwyps
45,Argentina v Cameroon,1990-06-08,Cameroon ,Omam-Biyik,François,7.0,Cameroon,67',No,qqtqvxuvx
46,Argentina v Chile,1930-07-22,Argentina ,Stábile,Guillermo,,Argentina,12',No,wwvxpswuv
47,Argentina v Chile,1930-07-22,Chile ,Subiabre,Guillermo,,Chile,15',No,xqwwxyvyq
48,Argentina v Chile,1930-07-22,Argentina ,Evaristo,Mario,,Argentina,51',No,putwtpwuw
49,Argentina v Chile,1930-07-22,Argentina ,Stábile,Guillermo,,Argentina,13',No,xxyqswrvy
50,Argentina v Croatia,2018-06-21,Croatia ,Rebić,Ante,18.0,Croatia,53',No,tsrpqpvqs
51,Argentina v Croatia,2018-06-21,Croatia ,Modrić,Luka,10.0,Croatia,80',No,qyptyyvux
52,Argentina v Croatia,1998-06-26,Argentina ,Pineda,Mauricio,4.0,Argentina,36',No,pvyuqtwvp
53,Argentina v Croatia,2018-06-21,Croatia ,Rakitić,Ivan,7.0,Croatia,90'+1',No,vsxruytvt
54,Argentina v East Germany,1974-07-03,East Germany ,Streich,Joachim,11.0,East Germany,14',No,wvyxuqxpu
55,Argentina v East Germany,1974-07-03,Argentina ,Houseman,René,11.0,Argentina,20',No,vsxxsuutq
56,Argentina v El Salvador,1982-06-23,Argentina ,Bertoni,Daniel,4.0,Argentina,54',No,xrurqrttw
57,Argentina v El Salvador,1982-06-23,Argentina ,Passarella,Daniel,15.0,Argentina,22',Yes,vppxxtysy
58,Argentina v England,1998-06-30,England ,Shearer,Alan,9.0,England,9',Yes,qxpxxtxuv
59,Argentina v England,1986-06-22,England ,Lineker,Gary,10.0,England,81',No,sxsvxpsxp
60,Argentina v England,1986-06-22,Argentina ,Maradona,Diego,10.0,Argentina,51',No,ppusxvyxp
61,Argentina v England,1998-06-30,Argentina ,Batistuta,Gabriel,9.0,Argentina,5',Yes,wpsvsupvu
62,Argentina v England,2002-06-07,England ,Beckham,David,7.0,England,44',Yes,svwytspuq
63,Argentina v England,1998-06-30,England ,Owen,Michael,20.0,England,16',No,vpuwyvsru
64,Argentina v England,1998-06-30,Argentina ,Zanetti,Javier,22.0,Argentina,45'+1',No,rrpvxvuvu
65,Argentina v England,1986-06-22,Argentina ,Maradona,Diego,10.0,Argentina,55',No,usvtqpspv
66,Argentina v France,1978-06-06,Argentina ,Passarella,Daniel,19.0,Argentina,45',Yes,uvuxvwxrp
67,Argentina v France,1978-06-06,Argentina ,Luque,Leopoldo,14.0,Argentina,73',No,xusutptur
68,Argentina v France,1978-06-06,France ,Platini,Michel,15.0,France,60',No,qvvuwpswv
69,Argentina v France,1930-07-15,Argentina ,Monti,Luis,,Argentina,81',No,tytstrxqr
70,Argentina v Germany,2010-07-03,Germany ,Klose,Miroslav,11.0,Germany,68',No,quwtyqssq
71,Argentina v Germany,2010-07-03,Germany ,Klose,Miroslav,11.0,Germany,89',No,yuqpuyupv
72,Argentina v Germany,2010-07-03,Germany ,Friedrich,Arne,3.0,Germany,74',No,vypyvyxsu
73,Argentina v Germany,2010-07-03,Germany ,Müller,Thomas,13.0,Germany,3',No,wtuvtvuvr
74,Argentina v Greece,1994-06-21,Argentina ,Batistuta,Gabriel,9.0,Argentina,44',No,uyvrxwtvr
75,Argentina v Greece,1994-06-21,Argentina ,Maradona,Diego,10.0,Argentina,60',No,wwyyupusx
76,Argentina v Greece,1994-06-21,Argentina ,Batistuta,Gabriel,9.0,Argentina,2',No,svrwqvvrt
77,Argentina v Greece,1994-06-21,Argentina ,Batistuta,Gabriel,9.0,Argentina,90',Yes,spwwsuqws
78,Argentina v Haiti,1974-06-23,Argentina ,Yazalde,Héctor,22.0,Argentina,68',No,wpsxqxstt
79,Argentina v Haiti,1974-06-23,Haiti ,Sanon,Emmanuel,20.0,Haiti,63',No,wvytpuuvy
80,Argentina v Haiti,1974-06-23,Argentina ,Yazalde,Héctor,22.0,Argentina,15',No,psruyvqrp
81,Argentina v Haiti,1974-06-23,Argentina ,Ayala,Rubén,2.0,Argentina,55',No,rrtwvwsxq
82,Argentina v Haiti,1974-06-23,Argentina ,Houseman,René,11.0,Argentina,18',No,yyvvurpxp
83,Argentina v Hungary,1982-06-18,Argentina ,Ardiles,Osvaldo,1.0,Argentina,60',No,rvxpspuqq
84,Argentina v Hungary,1982-06-18,Argentina ,Maradona,Diego,10.0,Argentina,28',No,rqwysttyt
85,Argentina v Hungary,1982-06-18,Hungary ,Pölöskei,Gábor,11.0,Hungary,76',No,pryyvyrut
86,Argentina v Hungary,1978-06-02,Hungary ,Csapó,Károly,13.0,Hungary,9',No,xyqpsrupr
87,Argentina v Hungary,1982-06-18,Argentina ,Bertoni,Daniel,4.0,Argentina,26',No,vryxwppqt
88,Argentina v Hungary,1978-06-02,Argentina ,Bertoni,Daniel,4.0,Argentina,83',No,vxvtyspsx
89,Argentina v Hungary,1982-06-18,Argentina ,Maradona,Diego,10.0,Argentina,57',No,wvrxxqppx
90,Argentina v Hungary,1978-06-02,Argentina ,Luque,Leopoldo,14.0,Argentina,14',No,ustrvyqpp
91,Argentina v Iceland,2018-06-16,Iceland ,Finnbogason,Alfreð,11.0,Iceland,23',No,vyspvpqwv
92,Argentina v Iceland,2018-06-16,Argentina ,Agüero,Sergio,19.0,Argentina,19',No,ywsrqwuuy
