key_id,match_name,stage_name,group_name,match_date,match_time,stadium_name,city_name,country_name
1,France v Mexico,group stage,Group 1,1930-07-13,15:00,Estadio Pocitos,Montevideo,Uruguay
2,United States v Belgium,group stage,Group 4,1930-07-13,15:00,Estadio Gran Parque Central,Montevideo,Uruguay
3,Yugoslavia v Brazil,group stage,Group 2,1930-07-14,12:45,Estadio Gran Parque Central,Montevideo,Uruguay
4,Romania v Peru,group stage,Group 3,1930-07-14,14:50,Estadio Pocitos,Montevideo,Uruguay
5,Argentina v France,group stage,Group 1,1930-07-15,16:00,Estadio Gran Parque Central,Montevideo,Uruguay
6,Chile v Mexico,group stage,Group 1,1930-07-16,14:45,Estadio Gran Parque Central,Montevideo,Uruguay
7,Yugoslavia v Bolivia,group stage,Group 2,1930-07-17,12:45,Estadio Gran Parque Central,Montevideo,Uruguay
8,United States v Paraguay,group stage,Group 4,1930-07-17,14:45,Estadio Gran Parque Central,Montevideo,Uruguay
9,Uruguay v Peru,group stage,Group 3,1930-07-18,14:30,Estadio Centenario,Montevideo,Uruguay
10,Chile v France,group stage,Group 1,1930-07-19,12:50,Estadio Centenario,Montevideo,Uruguay
11,Argentina v Mexico,group stage,Group 1,1930-07-19,15:00,Estadio Centenario,Montevideo,Uruguay
12,Brazil v Bolivia,group stage,Group 2,1930-07-20,13:00,Estadio Centenario,Montevideo,Uruguay
13,Paraguay v Belgium,group stage,Group 4,1930-07-20,15:00,Estadio Centenario,Montevideo,Uruguay
14,Uruguay v Romania,group stage,Group 3,1930-07-21,14:50,Estadio Centenario,Montevideo,Uruguay
15,Argentina v Chile,group stage,Group 1,1930-07-22,14:45,Estadio Centenario,Montevideo,Uruguay
16,Argentina v United States,semi-finals,,1930-07-26,14:45,Estadio Centenario,Montevideo,Uruguay
17,Uruguay v Yugoslavia,semi-finals,,1930-07-27,14:45,Estadio Centenario,Montevideo,Uruguay
18,Uruguay v Argentina,final,,1930-07-30,14:15,Estadio Centenario,Montevideo,Uruguay
19,Austria v France,round of 16,,1934-05-27,16:00,Stadio Benito Mussolini,Turin,Italy
20,Czechoslovakia v Romania,round of 16,,1934-05-27,16:00,Stadio Littorio,Trieste,Italy
21,Germany v Belgium,round of 16,,1934-05-27,16:00,Stadio Giovanni Berta,Florence,Italy
22,Hungary v Egypt,round of 16,,1934-05-27,16:00,Stadio Giorgio Ascarelli,Naples,Italy
23,Italy v United States,round of 16,,1934-05-27,16:00,Stadio Nazionale PNF,Rome,Italy
24,Spain v Brazil,round of 16,,1934-05-27,16:00,Stadio Luigi Ferraris,Genoa,Italy
25,Sweden v Argentina,round of 16,,1934-05-27,16:00,Stadio Renato Dall'Ara,Bologna,Italy
26,Switzerland v Netherlands,round of 16,,1934-05-27,16:00,San Siro,Milan,Italy
27,Austria v Hungary,quarter-finals,,1934-05-31,16:30,Stadio Renato Dall'Ara,Bologna,Italy
28,Czechoslovakia v Switzerland,quarter-finals,,1934-05-31,16:30,Stadio Benito Mussolini,Turin,Italy
29,Germany v Sweden,quarter-finals,,1934-05-31,16:30,San Siro,Milan,Italy
30,Italy v Spain,quarter-finals,,1934-05-31,16:30,Stadio Giovanni Berta,Florence,Italy
31,Italy v Spain,quarter-finals,,1934-06-01,16:30,Stadio Giovanni Berta,Florence,Italy
32,Czechoslovakia v Germany,semi-finals,,1934-06-03,16:30,Stadio Nazionale PNF,Rome,Italy
33,Italy v Austria,semi-finals,,1934-06-03,16:30,San Siro,Milan,Italy
34,Germany v Austria,third-place match,,1934-06-07,18:00,Stadio Giorgio Ascarelli,Naples,Italy
35,Italy v Czechoslovakia,final,,1934-06-10,17:00,Stadio Nazionale PNF,Rome,Italy
36,Switzerland v Germany,round of 16,,1938-06-04,17:00,Parc des Princes,Paris,France
37,Cuba v Romania,round of 16,,1938-06-05,17:00,Stade du T.O.E.C.,Toulouse,France
38,France v Belgium,round of 16,,1938-06-05,17:00,Stade Olympique de Colombes,Paris,France
39,Hungary v Dutch East Indies,round of 16,,1938-06-05,17:00,Vélodrome Municipal,Reims,France
40,Italy v Norway,round of 16,,1938-06-05,17:00,Stade Vélodrome,Marseille,France
41,Brazil v Poland,round of 16,,1938-06-05,17:30,Stade de la Meinau,Strasbourg,France
42,Czechoslovakia v Netherlands,round of 16,,1938-06-05,18:30,Stade Jules Deschaseaux,Le Havre,France
43,Cuba v Romania,round of 16,,1938-06-09,18:00,Stade du T.O.E.C.,Toulouse,France
44,Switzerland v Germany,round of 16,,1938-06-09,18:00,Parc des Princes,Paris,France
45,Brazil v Czechoslovakia,quarter-finals,,1938-06-12,17:00,Stade du Parc Lescure,Bordeaux,France
46,Hungary v Switzerland,quarter-finals,,1938-06-12,17:00,Stade Victor Boucquey,Lille,France
47,Italy v France,quarter-finals,,1938-06-12,17:00,Stade Olympique de Colombes,Paris,France
48,Sweden v Cuba,quarter-finals,,1938-06-12,17:00,Stade du Fort Carré,Antibes,France
49,Brazil v Czechoslovakia,quarter-finals,,1938-06-14,18:00,Stade du Parc Lescure,Bordeaux,France
50,Hungary v Sweden,semi-finals,,1938-06-16,18:00,Parc des Princes,Paris,France
51,Italy v Brazil,semi-finals,,1938-06-16,18:00,Stade Vélodrome,Marseille,France
52,Brazil v Sweden,third-place match,,1938-06-19,17:00,Stade du Parc Lescure,Bordeaux,France
53,Italy v Hungary,final,,1938-06-19,17:00,Stade Olympique de Colombes,Paris,France
54,Brazil v Mexico,group stage,Group 1,1950-06-24,15:00,Estádio do Maracanã,Rio de Janeiro,Brazil
55,Yugoslavia v Switzerland,group stage,Group 1,1950-06-25,15:00,Estádio Independência,Belo Horizonte,Brazil
56,England v Chile,group stage,Group 2,1950-06-25,15:00,Estádio do Maracanã,Rio de Janeiro,Brazil
57,Spain v United States,group stage,Group 2,1950-06-25,15:00,Estádio Vila Capanema,Curitiba,Brazil
58,Sweden v Italy,group stage,Group 3,1950-06-25,15:00,Estádio do Pacaembu,São Paulo,Brazil
59,Brazil v Switzerland,group stage,Group 1,1950-06-28,15:00,Estádio do Pacaembu,São Paulo,Brazil
60,Yugoslavia v Mexico,group stage,Group 1,1950-06-28,15:00,Estádio dos Eucaliptos,Porto Alegre,Brazil
61,Spain v Chile,group stage,Group 2,1950-06-29,15:00,Estádio do Maracanã,Rio de Janeiro,Brazil
62,United States v England,group stage,Group 2,1950-06-29,15:00,Estádio Independência,Belo Horizonte,Brazil
63,Sweden v Paraguay,group stage,Group 3,1950-06-29,15:30,Estádio Vila Capanema,Curitiba,Brazil
64,Brazil v Yugoslavia,group stage,Group 1,1950-07-01,15:00,Estádio do Maracanã,Rio de Janeiro,Brazil
65,Chile v United States,group stage,Group 2,1950-07-02,15:00,Estádio Ilha do Retiro,Recife,Brazil
66,Spain v England,group stage,Group 2,1950-07-02,15:00,Estádio do Maracanã,Rio de Janeiro,Brazil
67,Italy v Paraguay,group stage,Group 3,1950-07-02,15:00,Estádio do Pacaembu,São Paulo,Brazil
68,Uruguay v Bolivia,group stage,Group 4,1950-07-02,15:00,Estádio Independência,Belo Horizonte,Brazil
69,Switzerland v Mexico,group stage,Group 1,1950-07-02,15:40,Estádio dos Eucaliptos,Porto Alegre,Brazil
70,Brazil v Sweden,final round,,1950-07-09,15:00,Estádio do Maracanã,Rio de Janeiro,Brazil
71,Uruguay v Spain,final round,,1950-07-09,15:00,Estádio do Pacaembu,São Paulo,Brazil
72,Brazil v Spain,final round,,1950-07-13,15:00,Estádio do Maracanã,Rio de Janeiro,Brazil
73,Uruguay v Sweden,final round,,1950-07-13,15:00,Estádio do Pacaembu,São Paulo,Brazil
74,Sweden v Spain,final round,,1950-07-16,15:00,Estádio do Pacaembu,São Paulo,Brazil
75,Uruguay v Brazil,final round,,1950-07-16,15:00,Estádio do Maracanã,Rio de Janeiro,Brazil
76,Brazil v Mexico,group stage,Group 1,1954-06-16,18:00,Charmilles Stadium,Geneva,Switzerland
77,Yugoslavia v France,group stage,Group 1,1954-06-16,18:00,Stade Olympique de la Pontaise,Lausanne,Switzerland
78,Austria v Scotland,group stage,Group 3,1954-06-16,18:00,Hardturm Stadium,Zürich,Switzerland
79,Uruguay v Czechoslovakia,group stage,Group 3,1954-06-16,18:00,Wankdorf Stadium,Bern,Switzerland
80,Switzerland v Italy,group stage,Group 4,1954-06-17,17:50,Stade Olympique de la Pontaise,Lausanne,Switzerland
81,Hungary v South Korea,group stage,Group 2,1954-06-17,18:00,Hardturm Stadium,Zürich,Switzerland
