Tournament;Matchday;Date;Venue;Club;Opponent;Result;Position;Minute;When Scored;Goal Type;Assist;Pareja
LaLiga ;34;5/1/05;Home;FC Barcelona;Albacete Balompié;02:00:00;CF;90'+1;02:00:00;Left-footed shot;Ronaldinho Gaúcho;Antonela Rocuzzo
Champions League ;Group Stage;11/2/05;Home;FC Barcelona;Panathinaikos Athens;05:00:00;RW;34';03:00:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;13;11/27/05;Home;FC Barcelona;Racing Santander;04:01:00;RW;51';02:00:00;Left-footed shot;Samuel Eto'o;Antonela Rocuzzo
LaLiga ;19;1/15/06;Home;FC Barcelona;Athletic Bilbao;02:01:00;RW;50';02:01:00;Left-footed shot;Mark van Bommel;Antonela Rocuzzo
LaLiga ;20;1/22/06;Home;FC Barcelona;Deportivo Alavés;02:00:00;CF;82';02:00:00;Left-footed shot;Ronaldinho Gaúcho;Antonela Rocuzzo
LaLiga ;21;1/29/06;Away;FC Barcelona;RCD Mallorca;00:03:00;CF;75';00:02:00;Right-footed shot;Sylvinho;Antonela Rocuzzo
LaLiga ;21;1/29/06;Away;FC Barcelona;RCD Mallorca;00:03:00;CF;83';00:03:00;Left-footed shot;Ronaldinho Gaúcho;Antonela Rocuzzo
Copa del Rey ;Quarter-Finals;2/1/06;Home;FC Barcelona;Real Zaragoza;02:01:00;CF;42';01:00:00;Header;Ludovic Giuly;Antonela Rocuzzo
LaLiga ;24;2/18/06;Home;FC Barcelona;Real Betis Balompié;05:01:00;RW;84';05:01:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;1;8/28/06;Away;FC Barcelona;Celta de Vigo;02:03:00;LW;59';01:02:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;2;9/9/06;Home;FC Barcelona;CA Osasuna;03:00:00;RW;36';03:00:00;Left-footed shot;Samuel Eto'o;Antonela Rocuzzo
Champions Legue ;Group Stage;9/27/06;Away;FC Barcelona;SV Werder Bremen;01:01:00;RW;89';01:01:00;Left-footed shot;Deco;Antonela Rocuzzo
LaLiga ;6;10/15/06;Home;FC Barcelona;Sevilla FC;03:01:00;RW;80';03:01:00;Right-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;26;3/10/07;Home;FC Barcelona;Real Madrid;03:03:00;RW;11';01:01:00;Left-footed shot;Samuel Eto'o;Antonela Rocuzzo
LaLiga ;26;3/10/07;Home;FC Barcelona;Real Madrid;03:03:00;RW;28';02:02:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;26;3/10/07;Home;FC Barcelona;Real Madrid;03:03:00;RW;90'+1;03:03:00;Left-footed shot;Ronaldinho Gaúcho;Antonela Rocuzzo
LaLiga ;27;3/17/07;Away;FC Barcelona;Recreativo Huelva;00:04:00;RW;86';00:04:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
