Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Pareja
LaLiga ,34,5/1/05,Home,FC Barcelona,Albacete Balompié,2:0,CF,90'+1,2:0,Left-footed shot,Ronaldinho Gaúcho,Antonela Rocuzzo
Champions League ,Group Stage,11/2/05,Home,FC Barcelona,Panathinaikos Athens,5:0,RW,34',3:0,Left-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,13,11/27/05,Home,FC Barcelona,Racing Santander,4:1,RW,51',2:0,Left-footed shot,Samuel Eto'o,Antonela Rocuzzo
LaLiga ,19,1/15/06,Home,FC Barcelona,Athletic Bilbao,2:1,RW,50',2:1,Left-footed shot,Mark van Bommel,Antonela Rocuzzo
LaLiga ,20,1/22/06,Home,FC Barcelona,Deportivo Alavés,2:0,CF,82',2:0,Left-footed shot,Ronaldinho Gaúcho,Antonela Rocuzzo
LaLiga ,21,1/29/06,Away,FC Barcelona,RCD Mallorca,0:3,CF,75',0:2,Right-footed shot,Sylvinho,Antonela Rocuzzo
LaLiga ,21,1/29/06,Away,FC Barcelona,RCD Mallorca,0:3,CF,83',0:3,Left-footed shot,Ronaldinho Gaúcho,Antonela Rocuzzo
Copa del Rey ,Quarter-Finals,2/1/06,Home,FC Barcelona,Real Zaragoza,2:1,CF,42',1:0,Header,Ludovic Giuly,Antonela Rocuzzo
LaLiga ,24,2/18/06,Home,FC Barcelona,Real Betis Balompié,5:1,RW,84',5:1,Left-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,1,8/28/06,Away,FC Barcelona,Celta de Vigo,2:3,LW,59',1:2,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,2,9/9/06,Home,FC Barcelona,CA Osasuna,3:0,RW,36',3:0,Left-footed shot,Samuel Eto'o,Antonela Rocuzzo
Champions League ,Group Stage,9/27/06,Away,FC Barcelona,SV Werder Bremen,1:1,RW,89',1:1,Left-footed shot,Deco,Antonela Rocuzzo
LaLiga ,6,10/15/06,Home,FC Barcelona,Sevilla FC,3:1,RW,80',3:1,Right-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,26,3/10/07,Home,FC Barcelona,Real Madrid,3:3,RW,11',1:1,Left-footed shot,Samuel Eto'o,Antonela Rocuzzo
LaLiga ,26,3/10/07,Home,FC Barcelona,Real Madrid,3:3,RW,28',2:2,Left-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,26,3/10/07,Home,FC Barcelona,Real Madrid,3:3,RW,90'+1,3:3,Left-footed shot,Ronaldinho Gaúcho,Antonela Rocuzzo
LaLiga ,27,3/17/07,Away,FC Barcelona,Recreativo Huelva,0:4,RW,86',0:4,Left-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,28,3/31/07,Home,FC Barcelona,Deportivo de La Coruña,2:1,RW,45',1:0,Left-footed shot,Ronaldinho Gaúcho,Antonela Rocuzzo
Copa del Rey ,Semi-Finals,4/18/07,Home,FC Barcelona,Getafe CF,5:2,RW,29',2:0,Solo run,Xavi,Antonela Rocuzzo
Copa del Rey ,Semi-Finals,4/18/07,Home,FC Barcelona,Getafe CF,5:2,RW,45',3:0,Left-footed shot,Deco,Antonela Rocuzzo
LaLiga ,35,5/20/07,Away,FC Barcelona,Atlético de Madrid,0:6,RW,39',0:1,Left-footed shot,Samuel Eto'o,Antonela Rocuzzo
LaLiga ,35,5/20/07,Away,FC Barcelona,Atlético de Madrid,0:6,RW,80',0:5,Left-footed shot,Giovanni van Bronckhorst,Antonela Rocuzzo
LaLiga ,37,6/9/07,Home,FC Barcelona,RCD Espanyol Barcelona,2:2,RW,43',1:1,Not Applicable,Gianluca Zambrotta,Antonela Rocuzzo
LaLiga ,37,6/9/07,Home,FC Barcelona,RCD Espanyol Barcelona,2:2,RW,57',2:1,Right-footed shot,Deco,Antonela Rocuzzo
LaLiga ,38,6/17/07,Away,FC Barcelona,Gimnàstic de Tarragona,1:5,RW,34',0:2,Left-footed shot,Deco,Antonela Rocuzzo
LaLiga ,38,6/17/07,Away,FC Barcelona,Gimnàstic de Tarragona,1:5,RW,51',0:4,Left-footed shot,Deco,Antonela Rocuzzo
Champions League ,Group Stage,9/19/07,Home,FC Barcelona,Olympique Lyon,3:0,RW,82',2:0,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,4,9/22/07,Home,FC Barcelona,Sevilla FC,2:1,RW,72',1:0,Left-footed shot,Thierry Henry,Antonela Rocuzzo
LaLiga ,4,9/22/07,Home,FC Barcelona,Sevilla FC,2:1,RW,79',2:0,Penalty,Not Applicable,Antonela Rocuzzo
LaLiga ,5,9/26/07,Home,FC Barcelona,Real Zaragoza,4:1,RW,5',1:0,Left-footed shot,Thierry Henry,Antonela Rocuzzo
LaLiga ,5,9/26/07,Home,FC Barcelona,Real Zaragoza,4:1,RW,10',2:1,Left-footed shot,Deco,Antonela Rocuzzo
LaLiga ,6,9/29/07,Away,FC Barcelona,Levante UD,1:4,RW,50',0:4,Left-footed shot,Deco,Antonela Rocuzzo
Champions League ,Group Stage,10/2/07,Away,FC Barcelona,VfB Stuttgart,0:2,RW,66',0:2,Deflected shot on goal,Thierry Henry,Antonela Rocuzzo
LaLiga ,7,10/7/07,Home,FC Barcelona,Atlético de Madrid,3:0,RW,19',2:0,Left-footed shot,Ronaldinho Gaúcho,Antonela Rocuzzo
LaLiga ,9,10/28/07,Home,FC Barcelona,UD Almería,2:0,RW,80',2:0,Penalty,Not Applicable,Antonela Rocuzzo
Champions League ,Group Stage,11/7/07,Home,FC Barcelona,Rangers FC,2:0,RW,41',2:0,Tap-in,Ronaldinho Gaúcho,Antonela Rocuzzo
LaLiga ,13,11/24/07,Home,FC Barcelona,Recreativo Huelva,3:0,RW,81',3:0,Penalty,Not Applicable,Antonela Rocuzzo
Champions League ,Group Stage,11/27/07,Away,FC Barcelona,Olympique Lyon,2:2,RW,58',1:2,Penalty,Not Applicable,Antonela Rocuzzo
Champions League ,last 16,2/20/08,Away,FC Barcelona,Celtic FC,2:3,RW,18',1:1,Left-footed shot,Deco,Antonela Rocuzzo
Champions League ,last 16,2/20/08,Away,FC Barcelona,Celtic FC,2:3,RW,79',2:3,Left-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,25,2/24/08,Home,FC Barcelona,Levante UD,5:1,RW,44',2:1,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,35,5/4/08,Home,FC Barcelona,Valencia CF,6:0,RW,5',1:0,Penalty,Not Applicable,Antonela Rocuzzo
LaLiga ,2,9/13/08,Home,FC Barcelona,Racing Santander,1:1,RW,70',1:0,Penalty,Not Applicable,Antonela Rocuzzo
LaLiga ,3,9/21/08,Away,FC Barcelona,Sporting Gijón,1:6,RW,85',1:5,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,3,9/21/08,Away,FC Barcelona,Sporting Gijón,1:6,RW,89',1:6,Header,Xavi,Antonela Rocuzzo
LaLiga ,5,9/27/08,Away,FC Barcelona,RCD Espanyol Barcelona,1:2,RW,90',1:2,Penalty,Not Applicable,Antonela Rocuzzo
Champions League ,Group Stage,10/1/08,Away,FC Barcelona,Shakhtar Donetsk,1:2,RW,87',1:1,Right-footed shot,Bojan Krkic,Antonela Rocuzzo
Champions League ,Group Stage,10/1/08,Away,FC Barcelona,Shakhtar Donetsk,1:2,RW,90'+2,1:2,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,6,10/4/08,Home,FC Barcelona,Atlético de Madrid,6:1,RW,8',3:0,Direct free kick,Not Applicable,Antonela Rocuzzo
Champions League ,Group Stage,10/22/08,Away,FC Barcelona,FC Basel 1893,0:5,CF,4',0:1,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,9,11/1/08,Away,FC Barcelona,Málaga CF,1:4,RW,19',1:2,Left-footed shot,Not Applicable,Antonela Rocuzzo
Champions League ,Group Stage,11/4/08,Home,FC Barcelona,FC Basel 1893,1:1,RW,61',1:0,Left-footed shot,Thierry Henry,Antonela Rocuzzo
Copa del Rey ,4th round,11/12/08,Home,FC Barcelona,Benidorm CD,1:0,RW,86',1:0,Penalty rebound,Not Applicable,Antonela Rocuzzo
LaLiga ,11,11/16/08,Away,FC Barcelona,Recreativo Huelva,0:2,RW,51',0:1,Left-footed shot,Xavi,Antonela Rocuzzo
Champions League ,Group Stage,11/26/08,Away,FC Barcelona,Sporting CP,2:5,RW,49',0:3,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,13,11/29/08,Away,FC Barcelona,Sevilla FC,0:3,RW,78',0:2,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,13,11/29/08,Away,FC Barcelona,Sevilla FC,0:3,RW,90'+2,0:3,Left-footed shot,Aleksandr Hleb,Antonela Rocuzzo
LaLiga ,15,12/13/08,Home,FC Barcelona,Real Madrid,2:0,RW,89',2:0,Counter attack goal,Thierry Henry,Antonela Rocuzzo
Copa del Rey ,last 16,1/6/09,Away,FC Barcelona,Atlético de Madrid,1:3,RW,11',0:1,Left-footed shot,Dani Alves,Antonela Rocuzzo
Copa del Rey ,last 16,1/6/09,Away,FC Barcelona,Atlético de Madrid,1:3,RW,57',0:2,Penalty,Not Applicable,Antonela Rocuzzo
Copa del Rey ,last 16,1/6/09,Away,FC Barcelona,Atlético de Madrid,1:3,RW,79',1:3,Right-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,18,1/11/09,Away,FC Barcelona,CA Osasuna,2:3,RW,84',2:3,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,19,1/17/09,Home,FC Barcelona,Deportivo de La Coruña,5:0,RW,21',1:0,Left-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,20,1/24/09,Home,FC Barcelona,CD Numancia,4:1,RW,49',1:0,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,20,1/24/09,Home,FC Barcelona,CD Numancia,4:1,RW,76',4:1,Right-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,21,2/1/09,Away,FC Barcelona,Racing Santander,1:2,RW,65',1:1,Right-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,21,2/1/09,Away,FC Barcelona,Racing Santander,1:2,RW,81',1:2,Right-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,25,3/1/09,Away,FC Barcelona,Atlético de Madrid,4:3,RW,30',0:2,Left-footed shot,Not Applicable,Antonela Rocuzzo
Copa del Rey ,Semi-Finals,3/4/09,Away,FC Barcelona,RCD Mallorca,1:1,RW,81',1:1,Left-footed shot,Gerard Piqué,Antonela Rocuzzo
LaLiga ,26,3/7/09,Home,FC Barcelona,Athletic Bilbao,2:0,RW,31',2:0,Penalty,Not Applicable,Antonela Rocuzzo
Champions League ,last 16,3/11/09,Home,FC Barcelona,Olympique Lyon,5:2,RW,40',3:0,Left-footed shot,Samuel Eto'o,Antonela Rocuzzo
LaLiga ,28,3/22/09,Home,FC Barcelona,Málaga CF,6:0,RW,26',2:0,Right-footed shot,Xavi,Antonela Rocuzzo
Champions League ,Quarter-Finals,4/8/09,Home,FC Barcelona,Bayern Munich,4:0,RW,9',1:0,Left-footed shot,Samuel Eto'o,Antonela Rocuzzo
Champions League ,Quarter-Finals,4/8/09,Home,FC Barcelona,Bayern Munich,4:0,RW,38',3:0,Right-footed shot,Thierry Henry,Antonela Rocuzzo
LaLiga ,31,4/18/09,Away,FC Barcelona,Getafe CF,0:1,RW,18',0:1,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,33,4/25/09,Away,FC Barcelona,Valencia CF,2:2,RW,23',0:1,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,34,5/2/09,Away,FC Barcelona,Real Madrid,2:6,CF,35',1:3,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,34,5/2/09,Away,FC Barcelona,Real Madrid,2:6,CF,75',2:5,Left-footed shot,Xavi,Antonela Rocuzzo
Copa del Rey ,Final,5/13/09,Home,FC Barcelona,Athletic Bilbao,4:1,RW,55',2:1,Left-footed shot,Samuel Eto'o,Antonela Rocuzzo
Champions League ,Final,5/27/09,Home,FC Barcelona,Manchester United,2:0,CF,70',2:0,Header,Xavi,Antonela Rocuzzo
Supercopa ,final,8/23/09,Home,FC Barcelona,Athletic Bilbao,3:0,RW,50',1:0,Right-footed shot,Zlatan Ibrahimović,Antonela Rocuzzo
Supercopa ,final,8/23/09,Home,FC Barcelona,Athletic Bilbao,3:0,RW,68',2:0,Penalty,Not Applicable,Antonela Rocuzzo
LaLiga ,2,9/12/09,Away,FC Barcelona,Getafe CF,0:2,RW,78',0:2,Header,Zlatan Ibrahimović,Antonela Rocuzzo
LaLiga ,3,9/19/09,Home,FC Barcelona,Atlético de Madrid,5:2,RW,15',2:0,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,3,9/19/09,Home,FC Barcelona,Atlético de Madrid,5:2,RW,90'+3,5:2,Right-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,4,9/22/09,Away,FC Barcelona,Racing Santander,1:4,RW,23',0:2,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,4,9/22/09,Away,FC Barcelona,Racing Santander,1:4,RW,63',0:4,Left-footed shot,Xavi,Antonela Rocuzzo
Champions League ,Group Stage,9/29/09,Home,FC Barcelona,Dynamo Kyiv,2:0,RW,25',1:0,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,8,10/25/09,Home,FC Barcelona,Real Zaragoza,6:1,RW,80',5:1,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,10,11/7/09,Home,FC Barcelona,RCD Mallorca,4:2,RW,86',4:1,Penalty,Not Applicable,Antonela Rocuzzo
Copa del Rey ,4th round,11/10/09,Home,FC Barcelona,Cultural Leonesa,5:0,RW,64',4:0,Left-footed shot,Pedro,Antonela Rocuzzo
LaLiga ,13,12/5/09,Away,FC Barcelona,Deportivo de La Coruña,1:3,RW,26',0:1,Left-footed shot,Dani Alves,Antonela Rocuzzo
