match,dayofweek,match_time,home_team,away_team,home_xg,away_xg,score,attendance,venue,referee,home_formation,away_formation,home_captain,away_captain,home_manager,away_manager,home_possession,away_possession,home_completed_passes,home_attempted_pases,away_completed_passes,away_attempted_pases,home_sot,away_sot,home_total_shots,away_total_shots,home_saves,away_saves,home_fouls,away_fouls,home_corners,away_corners,home_crosses,away_crosses,home_touches,away_touches,home_tackles,away_tackles,home_interceptions,away_interceptions,home_aerials_won,away_aerials_won,home_clearances,away_clearances,home_offsides,away_offsides,home_gks,away_gks,home_throw_ins,away_throw_ins,home_long_balls,away_long_balls
1,Sun,2022-11-20 19:00:00,Qatar,Ecuador,0.3,1.2,0–2,67372,Al Bayt Stadium,Daniele Orsato,5-3-2,4-4-2,Hassan Al-Haydos,Enner Valencia,Félix Sánchez,Gustavo Alfaro,47,53,377,469,430,522,0,2,5,5,1,0,15,15,1,3,8,14,549,601,10,14,2,12,14,13,18,7,3,4,4,7,20,17,51,70
2,Mon,2022-11-21 16:00:00,England,IR Iran,2.1,1.4,6–2,45334,Khalifa International Stadium,Raphael Claus,4-2-3-1,5-4-1,Harry Kane,Ehsan Hajsafi,Gareth Southgate,Carlos Queiroz,77,23,740,838,162,248,7,2,13,7,1,1,9,14,8,0,21,8,922,341,13,12,7,16,10,10,4,23,2,2,5,5,18,17,87,50
3,Mon,2022-11-21 19:00:00,Senegal,Netherlands,0.9,0.7,0–2,41721,Al Thumama Stadium,Wilton Sampaio,4-2-3-1,3-4-1-2,Kalidou Koulibaly,Virgil van Dijk,Aliou Cissé,Louis van Gaal,46,54,333,427,387,494,4,3,15,10,1,4,13,13,6,7,19,25,531,573,14,10,10,6,22,20,32,16,2,1,6,10,17,28,64,66
4,Mon,2022-11-21 22:00:00,United States,Wales,0.8,1.5,1–1,43418,Ahmed bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,4-3-3,3-5-2,Tyler Adams,Gareth Bale,Gregg Berhalter,Rob Page,58,42,524,624,335,446,1,2,6,6,2,0,15,10,5,3,30,14,724,568,14,18,6,8,14,12,18,31,1,1,5,10,22,25,56,90
5,Tue,2022-11-22 13:00:00,Argentina,Saudi Arabia,2.2,0.1,1–2,88012,Lusail Iconic Stadium,Slavko Vinčič,4-4-2,4-1-4-1,Lionel Messi,Salman Al-Faraj,Lionel Scaloni,Hervé Renard,69,31,546,659,195,294,5,2,14,3,0,5,7,21,9,2,23,10,753,411,17,18,9,14,16,7,11,26,10,1,3,9,24,13,55,59
6,Tue,2022-11-22 16:00:00,Denmark,Tunisia,1.4,0.9,0–0,42925,Education City Stadium,César Arturo Ramos,3-5-2,3-4-3,Simon Kjær,Youssef Msakni,Kasper Hjulmand,Jalel Kadri,61,39,533,649,308,419,5,1,11,13,1,5,9,10,11,9,25,13,751,545,12,24,11,8,20,13,12,38,1,1,6,6,24,24,84,77
7,Tue,2022-11-22 19:00:00,Mexico,Poland,0.7,0.9,0–0,39369,Stadium 974,Chris Beath,4-3-3,4-1-4-1,Guillermo Ochoa,Robert Lewandowski,Tata Martino,Czesław Michniewicz,60,40,436,547,255,363,4,1,11,5,1,4,14,15,6,5,33,15,649,469,16,17,5,8,16,18,19,29,3,0,7,9,21,23,64,79
8,Tue,2022-11-22 22:00:00,France,Australia,4.0,0.5,4–1,40875,Al Janoub Stadium,Victor Gomes,4-2-3-1,4-1-4-1,Hugo Lloris,Mathew Ryan,Didier Deschamps,Graham Arnold,62,38,678,768,391,473,6,1,23,4,0,2,5,11,8,1,27,6,870,563,20,13,12,9,16,8,6,23,0,0,8,10,17,21,60,53
9,Wed,2022-11-23 13:00:00,Morocco,Croatia,0.4,0.5,0–0,59407,Al Bayt Stadium,Fernando Rapallini,4-3-3,4-3-3,Romain Saïss,Luka Modrić,Hoalid Regragui,Zlatko Dalić,36,64,298,384,581,693,2,1,8,5,1,2,16,11,0,5,8,18,502,783,21,17,13,10,14,12,21,11,0,1,4,5,22,27,47,57
10,Wed,2022-11-23 16:00:00,Germany,Japan,3.1,1.5,1–2,42608,Khalifa International Stadium,Iván Barton,4-2-3-1,4-2-3-1,Manuel Neuer,Maya Yoshida,Hansi Flick,Hajime Moriyasu,74,26,727,836,204,298,8,4,25,12,2,8,6,14,6,6,25,11,932,440,11,29,3,6,21,12,4,38,4,4,8,10,33,12,64,64
